                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5326,                 1.7087,                 1.1946,                0.10203,                0.50467,                0.09356,                0.05316,                 1.3861,                 5.5686,                 1.2567,             0.00065333,             0.00065333,             0.00065333
                      2,                 1.4585,                0.86095,                 1.1997,                0.17239,                0.83178,                0.14714,                0.08317,                 1.4092,                    inf,                 1.3983,              0.0013069,              0.0013069,              0.0013069
                      3,                 1.4627,                0.86942,                 1.2088,                0.85627,                0.81308,                0.88527,                0.55211,                 1.3409,                 1.3317,                 1.3495,              0.0019473,              0.0019473,              0.0019473
                      4,                 1.4863,                0.85675,                 1.2372,                0.91734,                0.90654,                0.96426,                0.57982,                  1.389,                 1.6575,                 1.2888,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4821,                0.86385,                 1.2259,                0.76251,                 0.8702,                0.88399,                0.48585,                 1.4561,                 1.7352,                 1.3293,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4322,                0.79849,                 1.1968,                0.88811,                0.88785,                0.90084,                0.55416,                 1.3605,                 1.6223,                 1.2591,               0.001901,               0.001901,               0.001901
                      7,                 1.4271,                0.76991,                 1.1857,                0.88136,                0.90257,                0.96061,                 0.6131,                 1.3323,                0.90543,                   1.24,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.407,                0.78622,                 1.1616,                0.92919,                0.96262,                0.97832,                0.64314,                 1.2429,                0.64618,                 1.1954,              0.0018614,              0.0018614,              0.0018614
                      9,                   1.33,                 0.7152,                 1.1249,                0.88737,                0.95722,                0.97485,                0.58017,                 1.4297,                0.90592,                 1.2784,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3622,                0.69705,                 1.1554,                0.86728,                0.93458,                0.93456,                0.55281,                 1.4064,                0.89885,                 1.2474,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.3521,                0.73176,                  1.143,                0.94306,                0.95327,                0.98038,                0.61081,                 1.3209,                 0.9068,                 1.2265,               0.001802,               0.001802,               0.001802
                     12,                 1.3392,                0.69996,                 1.1551,                0.91146,                0.96207,                0.98355,                0.63225,                 1.3218,                0.64324,                 1.2161,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3195,                0.68388,                 1.1403,                0.92162,                0.95327,                0.96561,                0.55282,                 1.4155,                0.69022,                 1.2724,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3188,                0.64912,                 1.1244,                0.89181,                0.96262,                0.97695,                0.62927,                 1.2875,                0.75116,                 1.1787,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3135,                0.64072,                 1.1286,                0.80328,                0.85047,                0.90982,                0.47381,                 1.5501,                0.88395,                 1.2954,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2861,                0.66697,                 1.1361,                0.92417,                0.96262,                0.97255,                0.59789,                 1.2406,                  0.665,                 1.1753,               0.001703,               0.001703,               0.001703
                     17,                 1.2768,                0.65601,                 1.1396,                0.93552,                0.94914,                0.98283,                0.65983,                 1.1497,                0.59667,                 1.1387,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2989,                0.65565,                 1.1249,                0.90998,                0.99065,                0.98505,                0.64219,                 1.1952,                0.60764,                 1.1554,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2239,                0.63636,                 1.0992,                 0.9034,                0.99065,                0.97796,                 0.6372,                 1.2514,                0.62041,                 1.1757,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2541,                0.62219,                 1.0925,                 0.9207,                0.99065,                0.97716,                0.60841,                 1.2734,                0.64611,                 1.1959,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2495,                0.60495,                 1.0916,                0.93702,                0.98131,                0.98047,                0.62527,                 1.2458,                0.60323,                 1.1554,               0.001604,               0.001604,               0.001604
                     22,                 1.2687,                0.59282,                 1.0998,                0.93413,                0.95327,                0.97633,                 0.6049,                    1.3,                0.67112,                 1.2065,              0.0015842,              0.0015842,              0.0015842
                     23,                   1.27,                0.62132,                 1.1026,                0.94424,                0.95327,                0.98932,                 0.6445,                 1.2272,                0.56265,                 1.1715,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.2583,                0.60685,                 1.0975,                0.94539,                0.95327,                0.97338,                0.62946,                 1.2228,                 1.3808,                 1.1843,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.2112,                0.60095,                 1.0981,                0.92798,                0.99065,                0.98029,                0.61059,                 1.2777,                0.62165,                 1.2017,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2263,                0.59392,                 1.1016,                0.89017,                0.98131,                0.98043,                0.64862,                 1.2512,                0.56233,                 1.1595,               0.001505,               0.001505,               0.001505
                     27,                 1.1772,                0.54864,                 1.0738,                0.94481,                0.95989,                0.98646,                0.60663,                 1.3047,                  0.589,                  1.207,              0.0014852,              0.0014852,              0.0014852
